biome	phylum	num
Acidic	Pseudomonadota	26.92
Acidic	Actinomycetota	21.01
Acidic	Patescibacteria	9.72
Acidic	Acidobacteriota	6.83
Acidic	Bacillota_E	4.27
Acidic	Chloroflexota	4.16
Acidic	Planctomycetota	3.29
Acidic	Bacteroidota	3.24
Acidic	Nitrospirota_A	2.94
Acidic	Desulfobacterota	2.47
Acidic	others	15.14
Saline	Pseudomonadota	35.78
Saline	Bacteroidota	15.25
Saline	Actinomycetota	8.63
Saline	Chloroflexota	5.78
Saline	Patescibacteria	5.76
Saline	Desulfobacterota	5.05
Saline	Verrucomicrobiota	3.31
Saline	Planctomycetota	2.76
Saline	Omnitrophota	1.89
Saline	Bipolaricaulota	1.3
Saline	others	14.5
Hyperbaric	Pseudomonadota	24.98
Hyperbaric	Chloroflexota	8.34
Hyperbaric	Bacteroidota	7.21
Hyperbaric	Patescibacteria	6.67
Hyperbaric	Campylobacterota	6.6
Hyperbaric	Planctomycetota	6.24
Hyperbaric	Desulfobacterota	5.49
Hyperbaric	Actinomycetota	2.68
Hyperbaric	Acidobacteriota	2.6
Hyperbaric	Marinisomatota	2.2
Hyperbaric	others	26.99
Cryogenic	Pseudomonadota	30.22
Cryogenic	Bacteroidota	19.74
Cryogenic	Actinomycetota	13.22
Cryogenic	Patescibacteria	6.67
Cryogenic	Verrucomicrobiota	3.16
Cryogenic	Chloroflexota	2.85
Cryogenic	Cyanobacteriota	2.82
Cryogenic	Armatimonadota	2.81
Cryogenic	Desulfobacterota	2.73
Cryogenic	Acidobacteriota	2.7
Cryogenic	others	13.08
Thermal	Pseudomonadota	17.27
Thermal	Chloroflexota	10.36
Thermal	Bacteroidota	9.94
Thermal	Campylobacterota	7.05
Thermal	Patescibacteria	5.44
Thermal	Desulfobacterota	5.22
Thermal	Planctomycetota	4.22
Thermal	Acidobacteriota	4.06
Thermal	Armatimonadota	2.99
Thermal	Actinomycetota	2.24
Thermal	others	31.22
