biome	phylum	num
Acidic	Thermoplasmatota	46.86
Acidic	Micrarchaeota	33.71
Acidic	Nanoarchaeota	11.19
Acidic	Thermoproteota	8.14
Acidic	Halobacteriota	0.05
Acidic	Methanobacteriota	0.05
Saline	Halobacteriota	48.38
Saline	Nanoarchaeota	12.83
Saline	Thermoplasmatota	11.75
Saline	Nanohaloarchaeota	7.44
Saline	Aenigmatarchaeota	5.68
Saline	Thermoproteota	5.68
Saline	Asgardarchaeota	4.21
Saline	Methanobacteriota_B	2.35
Saline	Iainarchaeota	0.98
Saline	Hadarchaeota	0.39
Saline	others	0.29
Hyperbaric	Thermoproteota	35.07
Hyperbaric	Thermoplasmatota	17.33
Hyperbaric	Halobacteriota	12.93
Hyperbaric	Nanoarchaeota	12.15
Hyperbaric	Asgardarchaeota	4.88
Hyperbaric	Aenigmatarchaeota	4.53
Hyperbaric	Methanobacteriota_B	3.6
Hyperbaric	Hydrothermarchaeota	1.64
Hyperbaric	Iainarchaeota	1.47
Hyperbaric	EX4484-52	1.31
Hyperbaric	others	5.09
Cryogenic	Halobacteriota	34.21
Cryogenic	Nanoarchaeota	28.57
Cryogenic	Thermoproteota	13.91
Cryogenic	Thermoplasmatota	8.27
Cryogenic	Asgardarchaeota	6.77
Cryogenic	Iainarchaeota	3.76
Cryogenic	Nanohaloarchaeota	2.26
Cryogenic	Altiarchaeota	0.75
Cryogenic	Methanobacteriota	0.75
Cryogenic	Aenigmatarchaeota	0.38
Cryogenic	others	0.38
Thermal	Thermoproteota	58.62
Thermal	Thermoplasmatota	10.04
Thermal	Halobacteriota	7.5
Thermal	Aenigmatarchaeota	5.09
Thermal	Nanoarchaeota	4.99
Thermal	Methanobacteriota_B	2.75
Thermal	Micrarchaeota	2.27
Thermal	Asgardarchaeota	2.1
Thermal	Hadarchaeota	1.62
Thermal	Hydrothermarchaeota	1.13
Thermal	others	3.89
