Echo,Class,Number
EB000001,NRPS,8997
EB000001,other,8923
EB000001,PKS,10033
EB000001,RiPP,22360
EB000001,saccharide,34
EB000001,terpene,14432
EB000002,NRPS,3510
EB000002,other,3755
EB000002,PKS,5710
EB000002,RiPP,6293
EB000002,saccharide,3
EB000002,terpene,9086
EB000003,NRPS,2539
EB000003,other,2628
EB000003,PKS,3058
EB000003,RiPP,4585
EB000003,saccharide,1
EB000003,terpene,4763
EB000004,NRPS,2831
EB000004,other,4787
EB000004,PKS,4001
EB000004,RiPP,6699
EB000004,saccharide,0
EB000004,terpene,8561
EB000005,NRPS,9661
EB000005,other,9249
EB000005,PKS,11468
EB000005,RiPP,18162
EB000005,saccharide,6
EB000005,terpene,9973
