,cdn.AUMU01000002.1.region001,FDZ060-GRRNs.79.k141_8235326.region001,FDZ070-GBkY14-16.19.k141_295477.region001,FDZ070-WuWY16-18.123.k141_3203126.region001,FDZ076-BkWG26-28.92.k141_2538591.region001,FDZ081-WW14-16.12.k141_2713136.region001,mvd.BGC0000594,SAMD00324604_k141_1928559.region001,SAMD00324604_k141_859481.region001,SAMD00324612_k141_2426270.region001,SAMD00324618_k141_585885.region001,SAMEA3696444_k129_48947.region001,SAMN03859986_k141_190433.region001,SAMN05421697_k141_38693.region001,SAMN05421697_k141_66448.region001,SAMN06266017_k141_472620.region001,SAMN06266017_k141_946008.region001,SAMN06267296_k141_730012.region001,SAMN07571238_k129_515968.region001,SAMN07748056_k141_2011422.region001,SAMN07748056_k141_2044812.region001,SAMN07748056_k141_252639.region001,SAMN07748057_k141_1813030.region001,SAMN07748057_k141_301426.region001,SAMN07748060_k141_509131.region001,SAMN07748062_k141_20456.region001,SAMN07748062_k141_502117.region001,SAMN09765674_k141_960968.region001,SAMN12239307_k141_20945.region001,SAMN12673456_k141_1760755.region001,SAMN14511031_k141_1798160.region001,SAMN15739657_k141_2377814.region001,SAMN16657991_k119_52788.region001,SAMN17674650_k141_4329.region001,SAMN17674816_k141_2929.region001,SAMN17675306_k141_3914.region001,SAMN17675998_k141_2872.region001,SAMN25209157_k141_244174.region001,SAMN25209160_k141_212082.region001,SAMN25209161_k141_396804.region001,SAMN25209162_k141_304645.region001,SAMN25209162_k141_56456.region001,SAMN25209163_k141_126057.region001,SAMN25209164_k141_466547.region001,SAMN25209170_k141_955335.region001,SAMN25209178_k141_282.region001,SAMN25209184_k141_326657.region001,SAMN35165513_k141_1127080.region001,SAMN35165513_k141_824380.region001,SAMN35165515_k141_472203.region001,SAMN35165515_k141_96319.region001,SAMN35165530_k141_845541.region001,SAMN40547840_k141_3546768.region001
cdn.AUMU01000002.1.region001,0.0,0.9207032683189768,0.900817595332075,0.915754443798611,0.8453291893794928,0.5735923566545005,0.9479852062030616,0.9879472824409744,1.0,0.986034554798922,0.9858537661345468,0.7763925424758215,0.9744423670725315,0.9854651829065554,0.9840303902243782,0.9016389427270478,1.0,0.9357112091444533,0.9474585924357484,0.9625271261591669,0.9215041068254147,0.9879230680410567,0.9625271261591669,1.0,0.9734109745970586,0.9734109745970586,0.963071458681201,0.9212229266385724,0.9734647772440065,0.8330792731007878,0.9884489289549316,0.9625828853301027,0.9480014126366018,0.9749557504859575,0.9749557504859575,0.9749557504859575,0.9749557504859575,0.6493335008832979,0.3163353571508778,0.316335357150878,0.14803785048831275,0.5861961113721035,0.316335357150878,0.316335357150878,0.316335357150878,0.3178565334679748,0.9250204855555035,0.9488126613696893,0.9874557527529257,0.9874557527529257,0.9488126613696893,0.9756668117910153,0.8850375750190709
FDZ060-GRRNs.79.k141_8235326.region001,0.9207032683189768,0.0,0.9279496423320032,0.927762064581057,0.9212377577361026,0.932541884441065,0.9361182719605162,1.0,0.9884951332391119,0.9707866618522547,0.9707866618522547,0.9865258317214824,0.9372877667698416,0.9713615777285574,0.9703718753845946,0.9537901159320636,1.0,0.923923654923843,0.9608626793158714,0.9082919357566859,0.9012170400861029,0.8729569464408433,0.8756974835913802,0.9560823922470023,0.958762541526308,0.958762541526308,0.9100996847032318,0.9286387200602653,0.9818002107737364,0.9139207702363522,0.9716917814390396,0.929290060845097,0.8784544678158897,0.9401247896273535,0.9401247896273535,0.9401247896273535,0.9401247896273535,0.9468741681108338,0.9070158160242243,0.9070158160242243,0.9055051443364991,0.9494759372739847,0.9070158160242243,0.9070158160242243,0.9070158160242243,0.9070158160242243,0.8997736874667487,0.938243674598698,1.0,1.0,0.938243674598698,0.9594306999305853,0.9452060993792711
FDZ070-GBkY14-16.19.k141_295477.region001,0.900817595332075,0.9279496423320032,0.0,0.7698018639952678,0.9342005137794627,0.9233449743233147,0.9406614178864644,0.9874626451964681,1.0,0.9832718554515277,0.9832718554515277,0.9756893893869599,0.9884538971575316,0.9845680465869969,0.9838285005369043,0.9398423005841305,1.0,0.9380284141758596,0.959471492092326,0.9439486452775554,0.9450596114221688,0.9470176227417324,0.9438324345021929,0.9882001366554993,0.9881023968235796,0.9881023968235796,0.9764633176181678,0.930427913138646,1.0,0.9260145425290595,1.0,0.958564310927117,0.9422623183361043,0.9309453691416016,0.9309453691416016,0.9309453691416016,0.9309453691416016,0.9439237176910894,0.9006190558397607,0.9006190558397607,0.9145726880989338,0.9432836075120637,0.9006190558397607,0.9006190558397607,0.9006190558397607,0.9006190558397607,0.9447277405509749,0.9405968256410893,1.0,1.0,0.9284292890525139,0.9598356601489567,0.9531257552886365
FDZ070-WuWY16-18.123.k141_3203126.region001,0.915754443798611,0.927762064581057,0.7698018639952678,0.0,0.9219399483955912,0.942021672345694,0.9401194114662126,0.9878313909259837,1.0,0.9828166678447665,0.9828166678447665,0.9881687540402214,1.0,0.9845680465869969,0.983944011247355,0.9404496551977112,1.0,0.9373783440639206,0.971561464589405,0.954651456634389,0.9447326839248985,0.9460445006713952,0.9545352458590265,0.9764002733109988,0.9882789191259004,0.9882789191259004,0.9765774532011131,0.9309875816972616,1.0,0.9243088895916104,1.0,0.9581317385598281,0.9418601938870916,0.9424206316460324,0.9424206316460324,0.9424206316460324,0.9424206316460324,0.9362131647620822,0.9048373243911119,0.9048373243911119,0.9171381548380052,0.9477805720999493,0.9048373243911119,0.9048373243911119,0.9048373243911119,0.9048373243911119,0.9444922719594806,0.9398332953789369,1.0,1.0,0.9397184763493871,0.9592457259509691,0.9542601856131405
FDZ076-BkWG26-28.92.k141_2538591.region001,0.8453291893794928,0.9212377577361026,0.9342005137794627,0.9219399483955912,0.0,0.9322446860301985,0.9730623355827014,1.0,0.9881567548049681,1.0,1.0,0.9184269321149221,0.987979989951311,1.0,0.988450279957393,0.9339382016386727,1.0,0.9731780041106098,0.9091601756961318,0.9639913421890303,0.9130594779390586,0.9127386826657924,0.9639913421890303,0.9492044878409945,0.949971374325301,0.949971374325301,0.948791606000133,0.8681152856672381,0.9864648626342493,0.9139798435705576,0.9447950282473202,0.9864917982309971,0.9224555767127299,0.9864785760459673,0.9864785760459673,0.9864785760459673,0.9864785760459673,0.8256093705489805,0.7781289907432156,0.7781289907432157,0.812461475893385,0.8030303331116355,0.7781289907432157,0.7781289907432157,0.7781289907432157,0.7781289907432157,0.9069146571534958,0.9747708421903757,1.0,1.0,0.9748816790570509,0.9867162682981714,0.9363942624931351
FDZ081-WW14-16.12.k141_2713136.region001,0.5735923566545005,0.932541884441065,0.9233449743233147,0.942021672345694,0.9322446860301985,0.0,0.936685645858455,1.0,1.0,0.9853636310438406,0.9853636310438406,0.9018130715872387,0.9863758156778957,0.984934103051218,0.9833598191485239,0.94571093104115,1.0,0.9469226712679765,0.9586386686681772,0.985817471941706,0.9572452255672421,0.975954357258301,0.9857040117172396,1.0,0.9737608301944657,0.9737608301944657,0.9753012664308737,0.945588034528531,0.9868804150972329,0.9240865716503668,0.9875623062044453,0.9607850317128244,0.9615976367391331,0.97538635398687,0.97538635398687,0.97538635398687,0.97538635398687,0.90684185982727,0.6253460686861254,0.6253460686861254,0.6130604328975149,0.8809427876981968,0.6253460686861254,0.6253460686861254,0.6253460686861254,0.6267863432195386,0.9333094907412302,0.9604970469587619,1.0,1.0,0.9604970469587619,0.9625614654647296,0.9485084961633329
mvd.BGC0000594,0.9479852062030616,0.9361182719605162,0.9406614178864644,0.9401194114662126,0.9730623355827014,0.936685645858455,0.0,1.0,0.9609138380152301,0.9682523171788299,0.9682523171788299,1.0,0.9620614540382397,0.9709987796766434,0.9685710597532715,0.958996470485299,1.0,0.909710208766503,0.970636961391045,0.9376542412065192,0.886513840647358,0.9416543499458393,0.9375383815211125,0.9737881892595676,0.9877874926248509,0.9877874926248509,0.9117391605792882,0.9425406979288459,0.9739538730715972,0.8983986993943783,0.9870106343022231,0.9429457793505203,0.9283992072813955,0.9302744698625297,0.9302744698625297,0.9302744698625297,0.9302744698625297,0.9754501059490523,0.9471486800237365,0.9471486800237365,0.9709163870043451,0.9883495020142905,0.9471486800237365,0.9471486800237365,0.9471486800237365,0.9471486800237365,0.8846934138294223,0.9253910594432815,1.0,1.0,0.9253910594432815,0.9561880202506466,0.95950277193982
SAMD00324604_k141_1928559.region001,0.9879472824409744,1.0,0.9874626451964681,0.9878313909259837,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9879687667859993,1.0,1.0,1.0,0.98686172622985,0.7104383387317832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9884951332391119,0.9881116376804157,1.0,1.0,0.9864648626342493,0.9864648626342493,0.9864648626342493,0.9864648626342493,0.9760506914086595,0.9750727886847425,0.9750727886847425,0.9881116376804157,0.9750727886847425,0.9750727886847425,0.9750727886847425,0.9750727886847425,0.9750727886847425,1.0,0.9854980671081243,0.9856189165488899,0.9856189165488899,0.9854980671081243,0.9865337437404363,0.9869685975200296
SAMD00324604_k141_859481.region001,1.0,0.9884951332391119,1.0,1.0,0.9881567548049681,1.0,0.9609138380152301,1.0,0.0,1.0,1.0,1.0,0.9874372144565015,1.0,1.0,1.0,1.0,0.9884951332391119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857001656079357,1.0,0.9750146832970612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9746431898348368,1.0,1.0,1.0,1.0,1.0,1.0
SAMD00324612_k141_2426270.region001,0.986034554798922,0.9707866618522547,0.9832718554515277,0.9828166678447665,1.0,0.9853636310438406,0.9682523171788299,1.0,1.0,0.0,0.9235954690634091,1.0,1.0,0.9812307309641101,0.9796631143115614,0.9838006186412782,1.0,0.9715944384789896,0.9837443673627253,0.9698761652377331,0.9538161334432845,0.9697677604378663,0.9698761652377331,0.9877774807316101,0.985900898577343,0.985900898577343,0.9492806131768722,0.9830575096456573,1.0,0.9738358684858401,1.0,0.970429566826718,0.9693805780147999,0.9705216666929855,0.9705216666929855,0.9705216666929855,0.9705216666929855,1.0,0.9854068061735047,0.9854068061735047,0.9851984170327756,1.0,0.9854068061735047,0.9854068061735047,0.9854068061735047,0.9854068061735047,0.9658040310420685,0.9677914102914549,1.0,1.0,0.9677914102914549,0.970137847613977,0.9849985560862929
